,count
Drake,847160
Kanye West,413297
Kendrick Lamar,353624
Rihanna,339570
The Weeknd,316603
Eminem,294667
Ed Sheeran,272116
Future,250734
Justin Bieber,243119
J. Cole,241560
Beyoncé,230857
The Chainsmokers,223509
Chris Brown,212772
Calvin Harris,203047
Twenty One Pilots,198905
Lil Uzi Vert,197855
Post Malone,195907
Big Sean,192478
Maroon 5,187029
JAY Z,185520
Migos,184440
Coldplay,182350
G-Eazy,179776
Lil Wayne,176657
Rae Sremmurd,168351
Imagine Dragons,167940
Bruno Mars,162464
Childish Gambino,159872
Nicki Minaj,152655
Luke Bryan,146260
Wiz Khalifa,145689
Fall Out Boy,142767
Ariana Grande,142115
Usher,141505
Logic,140309
John Mayer,139947
Travis Scott,139928
One Direction,139554
Chance The Rapper,137960
DJ Khaled,137523
Panic! At The Disco,136328
Florida Georgia Line,135666
Red Hot Chili Peppers,131091
The Beatles,129902
Katy Perry,128866
Fetty Wap,128196
Khalid,126733
Miley Cyrus,126658
Major Lazer,126353
Jason Derulo,124734
Zac Brown Band,123824
A$AP Rocky,123178
Frank Ocean,122188
Justin Timberlake,121270
Flo Rida,120288
Kodak Black,119351
Lana Del Rey,118953
Queen,117751
Young Thug,117250
Kid Cudi,116743
Michael Jackson,116439
The Lumineers,112558
David Guetta,110201
Adele,109299
Shawn Mendes,108792
Sam Hunt,106917
OneRepublic,106047
Taylor Swift,105366
Gucci Mane,103416
21 Savage,103076
Michael Bublé,102627
Jeremih,102514
Mumford & Sons,102303
Halsey,101850
Thomas Rhett,101531
Flume,101422
2 Chainz,100804
Pitbull,100698
Sam Smith,100334
Kenny Chesney,99625
blink-182,98241
Kygo,97604
Selena Gomez,96827
Kevin Gates,96389
Tim McGraw,96253
The Rolling Stones,95503
Bryson Tiller,94963
Sia,94911
Trey Songz,94552
Russ,94350
Jack Johnson,91578
Avicii,91257
blackbear,90959
Blake Shelton,90945
Jason Aldean,90543
Demi Lovato,89877
Lorde,88883
Zedd,88500
Britney Spears,88046
Arctic Monkeys,87981
Meek Mill,87350
DJ Snake,87141
Led Zeppelin,86745
Lady Gaga,86657
Green Day,86515
2Pac,86272
Linkin Park,86116
Hozier,85857
Mac Miller,85696
The 1975,84563
Ellie Goulding,84353
ScHoolboy Q,84106
Hillsong United,82813
Frank Sinatra,82547
The Killers,81685
Bob Marley & The Wailers,81473
Nelly,81106
The Notorious B.I.G.,80358
50 Cent,79915
Billy Joel,79882
Kesha,78785
Pentatonix,78216
B.o.B,77380
Elton John,76956
OutKast,76780
Snoop Dogg,76409
Vance Joy,75902
Mariah Carey,75771
Eric Church,75570
Ty Dolla $ign,75364
Creedence Clearwater Revival,75141
Fleetwood Mac,74689
R. Kelly,74591
Keith Urban,74035
French Montana,73634
T.I.,73515
T-Pain,73216
Cage The Elephant,72741
AC/DC,70824
Train,70680
Sublime,70602
ODESZA,70394
Nirvana,70220
alt-J,69598
Shakira,69543
Bon Iver,69419
Macklemore & Ryan Lewis,69246
Fifth Harmony,68714
Guns N' Roses,68598
Rascal Flatts,67893
Martin Garrix,67755
Weezer,67526
Tyga,67459
The Black Eyed Peas,67177
Kid Ink,66815
Disclosure,66546
Journey,66277
Dierks Bentley,65652
Stevie Wonder,64407
Eagles,63854
Carrie Underwood,63810
A Boogie Wit da Hoodie,62846
John Legend,62629
Lynyrd Skynyrd,62283
Kelly Clarkson,61890
Hillsong Worship,61709
Daft Punk,61558
Brad Paisley,61521
Jason Mraz,61404
ZAYN,61338
Ne-Yo,60826
Metallica,60487
DRAM,60321
P!nk,60220
Aerosmith,60156
Marvin Gaye,60132
Jon Bellion,60067
KYLE,59865
Pink Floyd,59724
Paramore,59680
The Black Keys,59657
George Strait,59618
Florence + The Machine,59394
Miguel,58995
XXXTENTACION,58958
Meghan Trainor,58676
Bastille,58437
A$AP Ferg,57954
Of Monsters and Men,57551
WALK THE MOON,57460
"Tyler, The Creator",57329
Lil Yachty,57114
YG,56448
Skrillex,56352
The Neighbourhood,56287
Foster The People,55982
Fergie,55880
Akon,55835
Galantis,55827
Alessia Cara,55379
My Chemical Romance,55195
The Fray,55093
Three Days Grace,54836
Tove Lo,54774
Johnny Cash,54556
Wale,54473
J Balvin,53812
Enrique Iglesias,53793
Dr. Dre,53714
The Beach Boys,53650
Tiësto,53428
Desiigner,53406
Charlie Puth,53272
Destiny's Child,53250
The Head and the Heart,52869
Kings of Leon,52428
Aminé,52208
Bon Jovi,52092
Glee Cast,51622
Avril Lavigne,51302
Vampire Weekend,51258
James Bay,51094
PARTYNEXTDOOR,50976
Tame Impala,50766
The Script,50342
Mike Posner,50190
Two Door Cinema Club,50065
Yo Gotti,49876
Elvis Presley,49667
Toby Keith,49344
Alicia Keys,49243
Chris Tomlin,49051
Glass Animals,49028
Billy Currington,48906
Machine Gun Kelly,48625
X Ambassadors,48528
The All-American Rejects,48247
Troye Sivan,48136
Hailee Steinfeld,47967
Jake Owen,47605
Foo Fighters,47534
Ludacris,47155
Nickelback,46924
Nick Jonas,46756
Daryl Hall & John Oates,46734
David Bowie,46683
Gorillaz,46555
Grouplove,46425
Melanie Martinez,46192
5 Seconds of Summer,46062
Milky Chance,45838
Luis Fonsi,45480
Chris Young,45273
Clean Bandit,45161
The xx,45153
Young the Giant,44915
Juicy J,44857
*NSYNC,44727
Brett Eldredge,44703
Bruce Springsteen,44701
"Earth, Wind & Fire",44606
Passion Pit,44555
Van Morrison,44350
BØRNS,43883
Lady Antebellum,43790
MGMT,43654
Zara Larsson,43587
High School Musical Cast,43513
Hannah Montana,43511
Lee Brice,43332
Lil Pump,43105
M83,42648
Five Finger Death Punch,42380
Portugal. The Man,42354
All Time Low,42247
The Game,42221
NEEDTOBREATHE,42155
Alan Jackson,41968
NAV,41717
Jimi Hendrix,41635
MadeinTYO,41529
Shaggy,41204
Backstreet Boys,40960
Lupe Fiasco,40940
U2,40815
Christina Aguilera,40753
Jack Ü,40684
The Jackson 5,40660
Jonas Brothers,40522
Soulja Boy,40455
Don Omar,40396
Whitney Houston,40286
Bob Dylan,40177
Rick Ross,40029
Birdy,40019
Pearl Jam,39983
Elevation Worship,39701
Radiohead,39699
Disturbed,39683
Lecrae,39631
Phoenix,39485
Gwen Stefani,39458
Waka Flocka Flame,39313
Phil Collins,39207
Bing Crosby,39131
Kehlani,38789
Ciara,38784
Old Dominion,38738
Third Eye Blind,38738
Steve Aoki,38663
Dave Matthews Band,38658
The Strokes,38597
Modest Mouse,38152
Oh Wonder,38093
Playboi Carti,38067
Darius Rucker,37989
Hunter Hayes,37971
SZA,37813
Van Halen,37631
The Offspring,37545
Cole Swindell,37441
Ben Howard,37440
fun.,37299
The Temptations,37252
Snakehips,37101
Brantley Gilbert,36980
Miranda Lambert,36908
Tory Lanez,36893
Nicky Jam,36756
James Arthur,36703
Chief Keef,36659
Sean Paul,36533
Death Cab for Cutie,36436
Iggy Azalea,36234
Daddy Yankee,36174
Christina Perri,36172
The White Stripes,36137
The Goo Goo Dolls,36017
Breaking Benjamin,35818
Muse,35807
Ingrid Michaelson,35807
Missy Elliott,35713
Andy Grammer,35608
Tech N9ne,35580
TLC,35514
Marshmello,35288
The Police,35249
Joey Bada$$,35222
Sage The Gemini,35217
Avenged Sevenfold,35198
Dirty Heads,35186
gnash,35182
Rich Homie Quan,35180
Simon & Garfunkel,35103
The Who,34747
Jennifer Lopez,34713
Jessie J,34237
Hans Zimmer,34080
Matchbox Twenty,34057
Fitz and The Tantrums,34040
The Avett Brothers,33996
Tom Petty and the Heartbreakers,33944
Sara Bareilles,33892
Nat King Cole,33702
Mac Demarco,33649
Shinedown,33638
deadmau5,33633
AWOLNATION,33503
A$AP Mob,33476
Owl City,33252
System Of A Down,33235
John Williams,33214
A Day To Remember,33172
Passenger,33111
Edward Sharpe & The Magnetic Zeros,33029
DMX,32899
3 Doors Down,32873
Ice Cube,32758
Lil Dicky,32701
Kiiara,32614
Alabama Shakes,32607
Chris Stapleton,32570
Dillon Francis,32529
Romeo Santos,32428
Niall Horan,31953
Harry Styles,31946
Amy Winehouse,31919
Skillet,31819
Madonna,31748
Colbie Caillat,31685
Oasis,31664
Steve Miller Band,31598
Nas,31568
Hoodie Allen,31456
BTS,31406
NF,31365
PnB Rock,31316
Tom Petty,31227
Sean Kingston,31174
DNCE,31080
Marc E. Bassy,31062
6LACK,30978
Empire of the Sun,30937
Rebelution,30924
Lord Huron,30900
Dan + Shay,30863
Kaskade,30804
K CAMP,30786
Beastie Boys,30657
Jonas Blue,30592
Banks,30579
MisterWives,30399
The Kooks,30063
Prince Royce,30012
George Ezra,29991
Counting Crows,29966
Young Money,29947
Sleeping At Last,29888
Little Mix,29728
Incubus,29640
Beck,29594
Mike WiLL Made-It,29592
Deorro,29541
Grateful Dead,29420
Quinn XCII,29332
Jeezy,29322
The Doors,29307
Alina Baraz,29232
Cash Cash,29150
Cold War Kids,29146
Sufjan Stevens,29086
Yellow Claw,29004
Eric Clapton,28965
Gavin DeGraw,28933
Josh Turner,28879
Otis Redding,28804
Ginuwine,28780
Kodaline,28759
Rise Against,28718
Jon Pardi,28712
Timeflies,28684
LANY,28665
Mark Ronson,28627
Papa Roach,28554
Dustin Lynch,28469
Boston,28372
A Tribe Called Quest,28368
Matoma,28304
Fat Joe,28215
Cheat Codes,28199
Plain White T's,28192
Lukas Graham,28088
ZHU,27893
Jimmy Eat World,27867
Foreigner,27711
Prince,27464
LMFAO,27442
Jesse McCartney,27436
N.W.A.,27404
Jhene Aiko,27297
The Shins,27277
Carnage,27249
Hillsong Young & Free,27239
Rob $tone,27119
M.I.A.,27087
Nelly Furtado,27069
Robin Schulz,26950
Slightly Stoopid,26934
Bryan Adams,26869
The Smashing Pumpkins,26739
SoMo,26721
Ella Fitzgerald,26639
Tori Kelly,26538
Daya,26426
Bebe Rexha,26378
MØ,26330
Little Big Town,25932
Jesus Culture,25863
Busta Rhymes,25859
Dean Martin,25856
AJR,25831
Snow Patrol,25691
Ray LaMontagne,25664
Chase Rice,25654
Bring Me The Horizon,25628
Smash Mouth,25374
The Cure,25295
Bee Gees,25005
Casting Crowns,24956
Sum 41,24865
James Taylor,24776
Alesso,24772
Arcade Fire,24721
Iron & Wine,24716
Toto,24638
Baby Bash,24635
Marian Hill,24631
Miike Snow,24523
Seether,24467
City and Colour,24446
Neon Trees,24409
Kid Rock,24352
Slipknot,24336
CHVRCHES,24219
Lifehouse,24024
Dixie Chicks,23972
The Piano Guys,23935
Bowling For Soup,23922
Omarion,23798
Brooks & Dunn,23777
Carly Rae Jepsen,23695
Ben Rector,23567
Robin Thicke,23508
OMI,23508
Paul Simon,23480
Pharrell Williams,23475
Eli Young Band,23451
Korn,23406
Macklemore,23405
Mura Masa,23360
Marc Anthony,23180
The Civil Wars,23176
Swedish House Mafia,23149
Mayday Parade,23145
Electric Light Orchestra,23129
Marina and the Diamonds,23128
Saint Motel,23078
Chet Faker,23045
Alan Walker,22974
Pierce The Veil,22961
Santana,22942
Phantogram,22875
Fleet Foxes,22804
Diplo,22776
Kip Moore,22737
John Mellencamp,22655
Kansas,22642
Sleeping With Sirens,22613
Louis The Child,22605
Rage Against The Machine,22567
Passion,22531
Afrojack,22311
Bill Withers,22287
Tee Grizzley,22236
Band of Horses,22077
Julia Michaels,22074
Sylvan Esso,22048
Maluma,22035
Hardwell,21985
Mike Stud,21981
Kenny Loggins,21976
Sam Cooke,21947
Capital Cities,21937
Banda Sinaloense MS de Sergio Lizárraga,21885
Roy Woods,21860
The Naked And Famous,21844
Good Charlotte,21835
Lil Jon,21833
HAIM,21623
Vince Staples,21586
Neil Diamond,21571
Boyz II Men,21559
Phil Wickham,21508
Icona Pop,21506
American Authors,21458
Lauv,21420
Mary J. Blige,21338
Shania Twain,21261
Natasha Bedingfield,21251
Daughter,21245
Willie Nelson,21187
Boyce Avenue,21125
Mario,21051
Justin Moore,21020
Matt and Kim,20823
Alabama,20820
Hollywood Undead,20795
Cardi B,20791
Yellowcard,20701
The Allman Brothers Band,20682
O.T. Genasis,20648
Aventura,20606
The Clash,20603
Armin van Buuren,20595
All Sons & Daughters,20553
Bassnectar,20534
Cherub,20531
No Doubt,20527
A Great Big World,20521
The Doobie Brothers,20494
Norah Jones,20429
Local Natives,20380
Talking Heads,20307
ABBA,20169
Fabolous,20099
Styx,20075
Def Leppard,20023
Black Sabbath,19982
Evanescence,19951
Tinashe,19933
Timbaland,19918
Lil Jon & The East Side Boyz,19913
Donnie Trumpet & The Social Experiment,19889
Far East Movement,19839
R.E.M.,19792
Phillip Phillips,19725
Taio Cruz,19708
Mötley Crüe,19611
Randy Houser,19597
Céline Dion,19512
Al Green,19491
Yeah Yeah Yeahs,19486
Simple Plan,19433
The Smiths,19370
Blackstreet,19357
Sugar Ray,19339
Bleachers,19253
3OH!3,19240
MKTO,19220
Louis Armstrong,19216
Wu-Tang Clan,19192
Relient K,19187
YFN Lucci,19176
Jimmy Buffett,19171
Echosmith,19170
The Pussycat Dolls,19138
Aretha Franklin,19116
Ayo & Teo,19106
Wisin & Yandel,19052
tobyMac,19005
Purity Ring,18976
Maná,18974
John Denver,18954
Shane & Shane,18946
Beach House,18931
James Blake,18928
Howard Shore,18729
Camila Cabello,18727
Vitamin String Quartet,18713
Krewella,18601
ZZ Top,18493
The National,18486
Bad Suns,18475
Jay Sean,18474
Janet Jackson,18431
Kaleo,18352
Dexys Midnight Runners,18323
Rodney Atkins,18248
Leon Bridges,18120
August Alsina,18112
José González,18007
Ja Rule,17982
Spice Girls,17979
Mat Kearney,17930
Gym Class Heroes,17881
Boys Like Girls,17851
James Vincent McMorrow,17837
Porter Robinson,17808
Flux Pavilion,17789
Kari Jobe,17706
Brett Young,17693
Charli XCX,17627
Selena Gomez & The Scene,17614
will.i.am,17597
Cyndi Lauper,17576
Paul McCartney,17572
A R I Z O N A,17473
FRENSHIP,17409
Hippie Sabotage,17298
Tears For Fears,17286
The Vamps,17284
Switchfoot,17282
The Temper Trap,17226
Dua Lipa,17208
Ozzy Osbourne,17070
Farruko,16990
Angus & Julia Stone,16917
We The Kings,16887
Ruth B.,16748
Diddy,16740
Rick Springfield,16650
Jidenna,16637
Newsboys,16602
The Isley Brothers,16551
Jordin Sparks,16530
311,16450
Liam Payne,16437
Broods,16434
Regina Spektor,16397
MercyMe,16379
Thirty Seconds To Mars,16374
MAGIC!,16335
Ugly God,16263
Stone Temple Pilots,16244
R3HAB,16220
DeJ Loaf,16183
Mandy Moore,16164
Ray J,16098
Frankie Ballard,16056
Yusuf / Cat Stevens,16034
Iyaz,16019
Alice In Chains,15986
Neil Young,15978
Daughtry,15951
Kelsea Ballerini,15870
James Blunt,15797
Wes Walker,15797
Staind,15787
Marilyn Manson,15786
Wham!,15752
Spoon,15722
Rend Collective,15712
Brand New,15702
Parachute,15698
GoldLink,15698
Ozuna,15668
Easton Corbin,15665
Years & Years,15654
KISS,15641
Limp Bizkit,15581
Pretty Lights,15563
Cake,15500
Soundgarden,15462
a-ha,15321
Etta James,15285
Daniel Caesar,15276
E-40,15246
Bright Eyes,15192
Billie Eilish,15187
Fugees,15161
Anderson .Paak,15113
Johann Sebastian Bach,15099
Ms. Lauryn Hill,15046
The Paper Kites,15022
Vince Guaraldi Trio,15017
Frankie Valli & The Four Seasons,14985
Ryan Adams,14985
Iration,14975
The Supremes,14884
Josh Groban,14839
Luke Combs,14810
Martin Solveig,14783
Nico & Vinz,14768
The Kinks,14750
Rachel Platten,14719
Rudimental,14672
Jaymes Young,14642
Atmosphere,14523
Heart,14430
Selena,14366
Survivor,14333
The Mowgli's,14327
Washed Out,14327
St. Lucia,14315
Lauren Daigle,14286
Sam Feldt,14266
Theory of a Deadman,14246
Run–D.M.C.,14230
for KING & COUNTRY,14204
Bone Thugs-N-Harmony,14171
Illenium,14152
Rod Stewart,14133
ILoveMakonnen,14109
REO Speedwagon,14080
Gotye,14061
The Cranberries,14021
Ray Charles,14007
Cashmere Cat,14004
Hopsin,14004
